2020-10-31T03:39:11.71,explorer.exe,Windows Explorer
2020-10-31T03:39:15.38,webstorm64.exe,WebStorm
2020-10-31T03:44:28.24,chrome.exe,Google Chrome
2020-10-31T03:44:36.28,explorer.exe,Windows Explorer
2020-10-31T03:44:39.86,webstorm64.exe,WebStorm
2020-10-31T03:45:49.76,explorer.exe,Windows Explorer
2020-10-31T03:46:04.44,chrome.exe,Google Chrome
2020-10-31T03:47:07.47,explorer.exe,Windows Explorer
2020-10-31T03:47:11.39,webstorm64.exe,WebStorm
2020-10-31T03:49:15.49,explorer.exe,Windows Explorer
2020-10-31T03:49:18.77,chrome.exe,Google Chrome
2020-10-31T03:49:46.64,explorer.exe,Windows Explorer
2020-10-31T03:49:50.61,webstorm64.exe,WebStorm
2020-10-31T03:51:28.34,msedge.exe,Microsoft Edge
2020-10-31T03:51:39.44,webstorm64.exe,WebStorm
2020-10-31T03:57:00.9,explorer.exe,Windows Explorer
2020-10-31T11:34:27.45,chrome.exe,Google Chrome
2020-10-31T12:05:58.61,explorer.exe,Windows Explorer
2020-10-31T12:06:02,webstorm64.exe,WebStorm
2020-10-31T12:06:45.67,msedge.exe,Microsoft Edge
2020-10-31T12:07:01.45,webstorm64.exe,WebStorm
2020-10-31T12:12:13.99,explorer.exe,Windows Explorer
2020-10-31T12:12:16.27,chrome.exe,Google Chrome
2020-10-31T12:22:09.05,explorer.exe,Windows Explorer
2020-10-31T12:22:12.77,chrome.exe,Google Chrome
2020-10-31T12:22:22.14,webstorm64.exe,WebStorm
2020-10-31T12:26:54.99,explorer.exe,Windows Explorer
2020-10-31T12:56:37.74,webstorm64.exe,WebStorm
2020-10-31T12:59:32.77,explorer.exe,Windows Explorer
2020-10-31T12:59:33.4,webstorm64.exe,WebStorm
2020-10-31T12:59:50.03,explorer.exe,Windows Explorer
2020-10-31T12:59:51.84,chrome.exe,Google Chrome
2020-10-31T13:00:53.81,explorer.exe,Windows Explorer
